"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"l_loop","1403:069e","Instruction Label","__OvrUntrapJmps","User Defined","1","0"
"__OvrTrapJmpsAndStack","1403:06ae","Function","Global","User Defined","2","0"
"restore_next_trap","1403:06d0","Instruction Label","__OvrTrapJmpsAndStack","User Defined","1","0"
"l_end","1403:06e0","Instruction Label","__OvrTrapJmpsAndStack","User Defined","1","0"
"__OvrCompactHeap","1403:06e1","Function","Global","User Defined","2","0"
"heap_ptr_below_bufseg","1403:0702","Instruction Label","__OvrCompactHeap","User Defined","1","0"
"next_fixup","1403:072b","Instruction Label","__OvrCompactHeap","User Defined","1","0"
"__OvrAddToLoadList","1403:0732","Function","Global","User Defined","2","0"
"l_loop","1403:073d","Instruction Label","__OvrAddToLoadList","User Defined","1","0"
"__OvrPatchStack","1403:0750","Function","Global","User Defined","2","0"
"l_end","1403:075b","Instruction Label","__OvrPatchStack","User Defined","1","0"
"__OvrPatchStack","1403:075c","Function","Global","User Defined","2","0"
"l_end","1403:077f","Instruction Label","__OvrPatchStack","User Defined","1","0"
"__OvrGetSegMemInfo","1403:0782","Function","Global","User Defined","2","0"
"do_result","1403:0795","Instruction Label","__OvrGetSegMemInfo","User Defined","1","0"
"l_ret","1403:079d","Instruction Label","__OvrGetSegMemInfo","User Defined","1","0"
"__OvrCalcCodeSz","1403:079e","Function","Global","User Defined","4","0"
"__OvrCalcSize","1403:07aa","Function","Global","User Defined","2","0"
"__ISOVERLAYMOD","1403:07c2","Function","Global","User Defined","0","0"
"__CHECKSTACK","1403:07f8","Function","Global","Analysis","0","0"
"__CHECKOVERLAY","1403:0890","Function","Global","Analysis","0","0"
"__OvrInitEms","1403:08e8","Function","Global","User Defined","0","0"
"OVRSWAP_1403_09c8","1403:09c8","Function","Global","User Defined","1","0"
"OVRSWAP_1403_0a48","1403:0a48","Function","Global","User Defined","0","0"
"__OvrInitExt","1403:0ab2","Function","Global","User Defined","0","0"
"OVRSWAP_1403_0bcc","1403:0bcc","Function","Global","User Defined","1","0"
"OVRSWAP_1403_0bfb","1403:0bfb","Function","Global","User Defined","0","0"
"OVRSWAP_1403_0c1f","1403:0c1f","Function","Global","User Defined","3","0"
"OVRSWAP_1403_0c2b","1403:0c2b","Function","Global","User Defined","2","0"
"OVRSWAP_1403_0cd2","1403:0cd2","Function","Global","User Defined","2","0"
"OVRSWAP_1403_0d01","1403:0d01","Function","Global","User Defined","2","0"
"__SwapOverlay","1403:0d0e","Function","Global","User Defined","0","0"
"__OvrPrepare","1403:0d24","Function","Global","User Defined","1","0"
"increase_bufsz","1403:0d4b","Instruction Label","__OvrPrepare","User Defined","1","0"
"do_alloc","1403:0d4d","Instruction Label","__OvrPrepare","User Defined","1","0"
"l_abort","1403:0d7a","Instruction Label","__OvrPrepare","User Defined","2","0"
"__INITEMS","1403:0d88","Function","Global","Analysis","1","0"
"__INITEMSPAGE","1403:0e3a","Function","Global","Analysis","1","0"
"__EXITEMS","1403:0e9f","Function","Global","Analysis","0","0"
"__INITEXT","1403:0eca","Function","Global","Analysis","1","0"
"__INITEXTMEM","1403:107a","Function","Global","Analysis","1","0"
"__EXITEXT","1403:1152","Function","Global","Analysis","0","0"
